param x:
1 2 3 4 5 :=
1 0.231 0.585 0.787 0.675 1
2 0.714 0.839 0.165 0.887 1
3 0.457 0.452 0.624 0.663 1
4 0.43 0.67 0.312 0.796 1
5 0.312 0.254 0.339 0.466 -1
6 0.32 0.653 0.11 0.041 -1
7 0.649 0.064 0.396 0.97 1
8 0.69 0.202 0.637 0.476 1
9 0.46 0.424 0.684 0.779 1
10 0.885 0.046 0.23 0.089 -1
11 0.746 0.862 0.57 0.228 1
12 0.221 0.109 0.807 0.113 -1
13 0.032 0.145 0.81 0.722 -1
14 0.276 0.848 0.242 0.758 1
15 0.462 0.673 0.263 0.798 1
16 0.446 0.57 0.438 0.904 1
17 0.161 0.241 0.084 0.187 -1
18 0.841 0.768 0.27 0.429 1
19 0.316 0.065 0.873 0.659 -1
20 0.975 0.341 0.016 0.637 -1
21 0.798 0.807 0.876 0.595 1
22 0.417 0.486 0.186 0.251 -1
23 0.86 0.305 0.337 0.289 -1
24 0.709 0.553 0.122 0.131 -1
25 0.965 0.073 0.097 0.905 1
26 0.612 0.948 0.354 0.02 -1
27 0.876 0.385 0.182 0.115 1
28 0.174 0.855 0.644 0.73 1
29 0.382 0.158 0.065 0.645 -1
30 0.377 0.758 0.073 0.997 1
31 0.962 0.882 0.05 0.578 1
32 0.349 0.039 0.51 0.225 -1
33 0.113 0.745 0.596 0.266 -1
34 0.416 0.091 0.479 0.31 -1
35 0.407 0.963 0.831 0.339 1
36 0.782 0.827 0.968 0.153 -1
37 0.398 0.218 0.729 0.587 -1
38 0.449 0.008 0.205 0.1 -1
39 0.771 0.28 0.085 0.663 -1
40 0.268 0.954 0.941 0.835 1
41 0.323 0.278 0.994 0.62 1
42 0.879 0.604 0.576 0.071 1
43 0.054 0.07 0.883 0.501 -1
44 0.873 0.226 0.503 0.089 -1
45 0.479 0.581 0.625 0.548 1
46 0.87 0.878 0.614 0.592 1
47 0.89 0.213 0.743 0.317 1
48 0.588 0.685 0.989 0.02 1
49 0.279 0.424 0.63 0.15 -1
50 0.387 0.743 0.64 0.013 -1
;
