param obser:
       1     2     3     4     5:=
1   0.659 0.481 0.688 0.342   1.0
2   0.161 0.027 0.963 0.564   0.0
3   0.010 0.990 0.397 0.727   1.0
4   0.808 0.694 0.129 0.597   1.0
5   0.209 0.813 0.716 0.258   0.0
6   0.209 0.137 0.971 0.215   0.0
7   0.945 0.781 0.464 0.529   1.0
8   0.430 0.619 0.330 0.007   0.0
9   0.109 0.237 0.556 0.971   0.0
10  0.656 0.164 0.388 0.664   0.0
11  0.912 0.692 0.024 0.788   1.0
12  0.370 0.030 0.250 0.235   0.0
13  0.122 0.112 0.162 0.527   0.0
14  0.654 0.806 0.652 0.001   1.0
15  0.427 0.829 0.793 0.269   1.0
16  0.612 0.136 0.791 0.984   1.0
17  0.923 0.073 0.664 0.445   1.0
18  0.923 0.065 0.284 0.072   0.0
19  0.728 0.135 0.968 0.279   1.0
20  0.514 0.015 0.247 0.778   0.0
21  0.720 0.153 0.987 0.851   1.0
22  0.367 0.378 0.507 0.611   0.0
23  0.399 0.518 0.861 0.792   1.0
24  0.438 0.742 0.929 0.089   1.0
25  0.877 0.914 0.483 0.598   1.0
26  0.709 0.737 0.876 0.361   1.0
27  0.992 0.973 0.519 0.572   1.0
28  0.370 0.509 0.791 0.462   1.0
29  0.544 0.565 0.552 0.392   1.0
30  0.110 0.816 0.902 0.197   1.0
31  0.658 0.706 0.351 0.300   1.0
32  0.551 0.752 0.055 0.638   0.0
33  0.277 0.093 0.267 0.920   0.0
34  0.794 0.094 0.673 0.258   0.0
35  0.767 0.264 0.752 0.698   1.0
36  0.098 0.276 0.835 0.681   0.0
37  0.665 0.383 0.002 0.969   1.0
38  0.677 0.985 0.485 0.064   1.0
39  0.535 0.654 0.728 0.652   1.0
40  0.629 0.383 0.763 0.101   0.0
41  0.958 0.348 0.051 0.558   0.0
42  0.987 0.957 0.462 0.649   1.0
43  0.648 0.473 0.522 0.341   0.0
44  0.891 0.990 0.612 0.983   1.0
45  0.687 0.050 0.261 0.057   0.0
46  0.894 0.660 0.185 0.677   1.0
47  0.890 0.029 0.236 0.360   0.0
48  0.381 0.762 0.926 0.106   1.0
49  0.291 0.825 0.650 0.316   1.0
50  0.129 0.053 0.313 0.575   0.0

